model,mhc_class,condition,target,sample,ranking_score,is_best_ranked,iptm,ptm,n_chains,ptm_mhc,ptm_pep,ptm_mhcb,ptm_tcra,ptm_tcrb,cp_mhc_pep,cp_mhca_mhcb,cp_mhcb_pep,cp_mhc_tcra,cp_mhc_tcrb,cp_pep_tcra,cp_pep_tcrb,cp_mhcb_tcra,cp_mhcb_tcrb,cp_tcra_tcrb,mean_tcr_pmhc_iptm,chain_pair_iptm
af3,classI,with_msa_with_template,6zkz_pmhc_tcr,3,0.6937237382830598,False,0.67,0.75,4,0.9,0.03,,0.87,0.88,0.91,,,0.49,0.51,0.47,0.46,,,0.86,0.4825,"[[0.9, 0.91, 0.49, 0.51], [0.91, 0.03, 0.47, 0.46], [0.49, 0.47, 0.87, 0.86], [0.51, 0.46, 0.86, 0.88]]"
af3,classI,with_msa_with_template,6zkz_pmhc_tcr,0,0.6846268783837209,False,0.66,0.74,4,0.9,0.03,,0.88,0.88,0.9,,,0.46,0.49,0.44,0.45,,,0.86,0.45999999999999996,"[[0.9, 0.9, 0.46, 0.49], [0.9, 0.03, 0.44, 0.45], [0.46, 0.44, 0.88, 0.86], [0.49, 0.45, 0.86, 0.88]]"
af3,classI,with_msa_with_template,6zkz_pmhc_tcr,1,0.6430643921780967,False,0.62,0.7,4,0.9,0.03,,0.88,0.88,0.91,,,0.39,0.4,0.36,0.34,,,0.86,0.3725,"[[0.9, 0.91, 0.39, 0.4], [0.91, 0.03, 0.36, 0.34], [0.39, 0.36, 0.88, 0.86], [0.4, 0.34, 0.86, 0.88]]"
af3,classI,with_msa_with_template,7dzm_pmhc_tcr,3,0.9374566653171603,True,0.92,0.94,4,0.93,0.03,,0.9,0.91,0.96,,,0.88,0.9,0.89,0.9,,,0.91,0.8925,"[[0.93, 0.96, 0.88, 0.9], [0.96, 0.03, 0.89, 0.9], [0.88, 0.89, 0.9, 0.91], [0.9, 0.9, 0.91, 0.91]]"
af3,classI,with_msa_with_template,7dzm_pmhc_tcr,0,0.9359524866630384,False,0.92,0.93,4,0.93,0.04,,0.9,0.91,0.96,,,0.89,0.9,0.89,0.9,,,0.9,0.895,"[[0.93, 0.96, 0.89, 0.9], [0.96, 0.04, 0.89, 0.9], [0.89, 0.89, 0.9, 0.9], [0.9, 0.9, 0.9, 0.91]]"
af3,classI,with_msa_with_template,7dzm_pmhc_tcr,1,0.9329413651832881,False,0.92,0.93,4,0.93,0.03,,0.9,0.91,0.96,,,0.88,0.89,0.89,0.89,,,0.9,0.8875000000000001,"[[0.93, 0.96, 0.88, 0.89], [0.96, 0.03, 0.89, 0.89], [0.88, 0.89, 0.9, 0.9], [0.89, 0.89, 0.9, 0.91]]"
af3,classI,with_msa_with_template,7dzm_pmhc_tcr,2,0.9320055302407063,False,0.92,0.93,4,0.93,0.03,,0.9,0.91,0.96,,,0.88,0.89,0.89,0.89,,,0.9,0.8875000000000001,"[[0.93, 0.96, 0.88, 0.89], [0.96, 0.03, 0.89, 0.89], [0.88, 0.89, 0.9, 0.9], [0.89, 0.89, 0.9, 0.91]]"
af3,classI,with_msa_with_template,7dzm_pmhc_tcr,4,0.9265934047416996,False,0.91,0.93,4,0.92,0.03,,0.89,0.91,0.95,,,0.87,0.89,0.88,0.88,,,0.9,0.88,"[[0.92, 0.95, 0.87, 0.89], [0.95, 0.03, 0.88, 0.88], [0.87, 0.88, 0.89, 0.9], [0.89, 0.88, 0.9, 0.91]]"
af3,classI,with_msa_with_template,7dzn_pmhc_tcr,2,0.587467321754404,True,0.56,0.63,4,0.91,0.02,,0.84,0.88,0.9,,,0.32,0.31,0.29,0.29,,,0.79,0.3025,"[[0.91, 0.9, 0.32, 0.31], [0.9, 0.02, 0.29, 0.29], [0.32, 0.29, 0.84, 0.79], [0.31, 0.29, 0.79, 0.88]]"
af3,classI,with_msa_with_template,7dzn_pmhc_tcr,3,0.5828579025420555,False,0.56,0.62,4,0.92,0.02,,0.84,0.89,0.91,,,0.3,0.3,0.29,0.3,,,0.79,0.2975,"[[0.92, 0.91, 0.3, 0.3], [0.91, 0.02, 0.29, 0.3], [0.3, 0.29, 0.84, 0.79], [0.3, 0.3, 0.79, 0.89]]"
af3,classI,with_msa_with_template,7dzn_pmhc_tcr,0,0.5733661727444226,False,0.55,0.63,4,0.91,0.02,,0.83,0.88,0.87,,,0.31,0.32,0.27,0.29,,,0.77,0.2975,"[[0.91, 0.87, 0.31, 0.32], [0.87, 0.02, 0.27, 0.29], [0.31, 0.27, 0.83, 0.77], [0.32, 0.29, 0.77, 0.88]]"
af3,classI,with_msa_with_template,7dzn_pmhc_tcr,1,0.5680187843243815,False,0.54,0.61,4,0.91,0.02,,0.83,0.88,0.9,,,0.27,0.28,0.25,0.27,,,0.78,0.2675,"[[0.91, 0.9, 0.27, 0.28], [0.9, 0.02, 0.25, 0.27], [0.27, 0.25, 0.83, 0.78], [0.28, 0.27, 0.78, 0.88]]"
af3,classI,with_msa_with_template,7dzn_pmhc_tcr,4,0.5667956733316448,False,0.54,0.6,4,0.91,0.02,,0.83,0.88,0.91,,,0.26,0.24,0.24,0.25,,,0.77,0.2475,"[[0.91, 0.91, 0.26, 0.24], [0.91, 0.02, 0.24, 0.25], [0.26, 0.24, 0.83, 0.77], [0.24, 0.25, 0.77, 0.88]]"
af3,classI,with_msa_with_template,7l1d_pmhc_tcr,4,0.8517292352346362,True,0.83,0.87,4,0.92,0.03,,0.85,0.87,0.92,,,0.8,0.75,0.71,0.7,,,0.82,0.74,"[[0.92, 0.92, 0.8, 0.75], [0.92, 0.03, 0.71, 0.7], [0.8, 0.71, 0.85, 0.82], [0.75, 0.7, 0.82, 0.87]]"
af3,classI,with_msa_with_template,7l1d_pmhc_tcr,1,0.8487518091901601,False,0.83,0.87,4,0.92,0.02,,0.85,0.87,0.9,,,0.77,0.76,0.68,0.71,,,0.84,0.73,"[[0.92, 0.9, 0.77, 0.76], [0.9, 0.02, 0.68, 0.71], [0.77, 0.68, 0.85, 0.84], [0.76, 0.71, 0.84, 0.87]]"
af3,classI,with_msa_with_template,7l1d_pmhc_tcr,2,0.8241340751762263,False,0.8,0.85,4,0.92,0.02,,0.85,0.86,0.91,,,0.77,0.67,0.67,0.61,,,0.82,0.6799999999999999,"[[0.92, 0.91, 0.77, 0.67], [0.91, 0.02, 0.67, 0.61], [0.77, 0.67, 0.85, 0.82], [0.67, 0.61, 0.82, 0.86]]"
af3,classI,with_msa_with_template,7l1d_pmhc_tcr,0,0.8021033055779281,False,0.78,0.83,4,0.92,0.02,,0.84,0.85,0.9,,,0.73,0.65,0.63,0.59,,,0.8,0.6499999999999999,"[[0.92, 0.9, 0.73, 0.65], [0.9, 0.02, 0.63, 0.59], [0.73, 0.63, 0.84, 0.8], [0.65, 0.59, 0.8, 0.85]]"
af3,classI,with_msa_with_template,7l1d_pmhc_tcr,3,0.7883548194632293,False,0.77,0.81,4,0.92,0.02,,0.84,0.84,0.9,,,0.7,0.66,0.6,0.6,,,0.82,0.64,"[[0.92, 0.9, 0.7, 0.66], [0.9, 0.02, 0.6, 0.6], [0.7, 0.6, 0.84, 0.82], [0.66, 0.6, 0.82, 0.84]]"
af3,classI,with_msa_with_template,7n2n_pmhc_tcr,1,0.7679694703184742,True,0.75,0.79,4,0.92,0.03,,0.86,0.88,0.93,,,0.59,0.62,0.53,0.58,,,0.76,0.58,"[[0.92, 0.93, 0.59, 0.62], [0.93, 0.03, 0.53, 0.58], [0.59, 0.53, 0.86, 0.76], [0.62, 0.58, 0.76, 0.88]]"
af3,classI,with_msa_with_template,7n2n_pmhc_tcr,4,0.7610959440138426,False,0.74,0.78,4,0.92,0.03,,0.87,0.88,0.94,,,0.6,0.59,0.56,0.55,,,0.76,0.575,"[[0.92, 0.94, 0.6, 0.59], [0.94, 0.03, 0.56, 0.55], [0.6, 0.56, 0.87, 0.76], [0.59, 0.55, 0.76, 0.88]]"
af3,classI,with_msa_with_template,7n2n_pmhc_tcr,0,0.7509855936198448,False,0.73,0.77,4,0.92,0.03,,0.87,0.88,0.93,,,0.57,0.59,0.51,0.55,,,0.74,0.5549999999999999,"[[0.92, 0.93, 0.57, 0.59], [0.93, 0.03, 0.51, 0.55], [0.57, 0.51, 0.87, 0.74], [0.59, 0.55, 0.74, 0.88]]"
af3,classI,with_msa_with_template,7n2n_pmhc_tcr,2,0.7325486275921522,False,0.71,0.75,4,0.92,0.03,,0.86,0.88,0.94,,,0.53,0.55,0.49,0.48,,,0.77,0.5125,"[[0.92, 0.94, 0.53, 0.55], [0.94, 0.03, 0.49, 0.48], [0.53, 0.49, 0.86, 0.77], [0.55, 0.48, 0.77, 0.88]]"
af3,classI,with_msa_with_template,7n2n_pmhc_tcr,3,0.7300346402249955,False,0.71,0.75,4,0.92,0.03,,0.86,0.88,0.94,,,0.53,0.55,0.46,0.5,,,0.76,0.51,"[[0.92, 0.94, 0.53, 0.55], [0.94, 0.03, 0.46, 0.5], [0.53, 0.46, 0.86, 0.76], [0.55, 0.5, 0.76, 0.88]]"
af3,classI,with_msa_with_template,7n2o_pmhc_tcr,3,0.9156098037991269,True,0.9,0.92,4,0.92,0.03,,0.89,0.91,0.94,,,0.87,0.83,0.88,0.84,,,0.88,0.855,"[[0.92, 0.94, 0.87, 0.83], [0.94, 0.03, 0.88, 0.84], [0.87, 0.88, 0.89, 0.88], [0.83, 0.84, 0.88, 0.91]]"
af3,classI,with_msa_with_template,7n2o_pmhc_tcr,2,0.9134289737446841,False,0.9,0.91,4,0.92,0.03,,0.89,0.9,0.94,,,0.87,0.82,0.88,0.84,,,0.87,0.8524999999999999,"[[0.92, 0.94, 0.87, 0.82], [0.94, 0.03, 0.88, 0.84], [0.87, 0.88, 0.89, 0.87], [0.82, 0.84, 0.87, 0.9]]"
af3,classI,with_msa_with_template,7n2o_pmhc_tcr,4,0.901607686075025,False,0.89,0.91,4,0.92,0.03,,0.89,0.9,0.94,,,0.85,0.81,0.86,0.82,,,0.87,0.835,"[[0.92, 0.94, 0.85, 0.81], [0.94, 0.03, 0.86, 0.82], [0.85, 0.86, 0.89, 0.87], [0.81, 0.82, 0.87, 0.9]]"
af3,classI,with_msa_with_template,7n2o_pmhc_tcr,1,0.8882041796060923,False,0.87,0.9,4,0.92,0.03,,0.88,0.9,0.94,,,0.84,0.8,0.84,0.81,,,0.86,0.8225,"[[0.92, 0.94, 0.84, 0.8], [0.94, 0.03, 0.84, 0.81], [0.84, 0.84, 0.88, 0.86], [0.8, 0.81, 0.86, 0.9]]"
af3,classI,with_msa_with_template,7n2o_pmhc_tcr,0,0.8639419415190147,False,0.85,0.88,4,0.91,0.03,,0.88,0.9,0.93,,,0.79,0.78,0.8,0.78,,,0.85,0.7875000000000001,"[[0.91, 0.93, 0.79, 0.78], [0.93, 0.03, 0.8, 0.78], [0.79, 0.8, 0.88, 0.85], [0.78, 0.78, 0.85, 0.9]]"
af3,classI,with_msa_with_template,7n2p_pmhc_tcr,1,0.6629211737328166,True,0.64,0.7,4,0.91,0.03,,0.87,0.87,0.91,,,0.39,0.45,0.37,0.43,,,0.71,0.41,"[[0.91, 0.91, 0.39, 0.45], [0.91, 0.03, 0.37, 0.43], [0.39, 0.37, 0.87, 0.71], [0.45, 0.43, 0.71, 0.87]]"
af3,classI,with_msa_with_template,7n2p_pmhc_tcr,0,0.6412814589871764,False,0.62,0.66,4,0.91,0.03,,0.87,0.87,0.91,,,0.39,0.38,0.37,0.36,,,0.71,0.375,"[[0.91, 0.91, 0.39, 0.38], [0.91, 0.03, 0.37, 0.36], [0.39, 0.37, 0.87, 0.71], [0.38, 0.36, 0.71, 0.87]]"
af3,classI,with_msa_with_template,7n2p_pmhc_tcr,3,0.6167208615327763,False,0.59,0.65,4,0.91,0.03,,0.86,0.87,0.91,,,0.32,0.38,0.3,0.37,,,0.69,0.3425,"[[0.91, 0.91, 0.32, 0.38], [0.91, 0.03, 0.3, 0.37], [0.32, 0.3, 0.86, 0.69], [0.38, 0.37, 0.69, 0.87]]"
af3,classI,with_msa_with_template,7n2p_pmhc_tcr,2,0.6158783469644923,False,0.6,0.64,4,0.91,0.03,,0.86,0.87,0.91,,,0.33,0.37,0.31,0.36,,,0.68,0.3425,"[[0.91, 0.91, 0.33, 0.37], [0.91, 0.03, 0.31, 0.36], [0.33, 0.31, 0.86, 0.68], [0.37, 0.36, 0.68, 0.87]]"
af3,classI,with_msa_with_template,7n2p_pmhc_tcr,4,0.6064277804763966,False,0.58,0.64,4,0.91,0.03,,0.86,0.87,0.91,,,0.32,0.35,0.3,0.33,,,0.69,0.325,"[[0.91, 0.91, 0.32, 0.35], [0.91, 0.03, 0.3, 0.33], [0.32, 0.3, 0.86, 0.69], [0.35, 0.33, 0.69, 0.87]]"
af3,classI,with_msa_with_template,7n2q_pmhc_tcr,0,0.7173770881892942,True,0.7,0.73,4,0.92,0.03,,0.86,0.88,0.93,,,0.51,0.49,0.47,0.48,,,0.78,0.4875,"[[0.92, 0.93, 0.51, 0.49], [0.93, 0.03, 0.47, 0.48], [0.51, 0.47, 0.86, 0.78], [0.49, 0.48, 0.78, 0.88]]"
af3,classI,with_msa_with_template,7n2q_pmhc_tcr,2,0.7075874783578274,False,0.69,0.73,4,0.92,0.03,,0.86,0.88,0.93,,,0.47,0.49,0.43,0.5,,,0.78,0.4725,"[[0.92, 0.93, 0.47, 0.49], [0.93, 0.03, 0.43, 0.5], [0.47, 0.43, 0.86, 0.78], [0.49, 0.5, 0.78, 0.88]]"
af3,classI,with_msa_with_template,7n2q_pmhc_tcr,3,0.702763688165793,False,0.68,0.72,4,0.92,0.03,,0.86,0.88,0.93,,,0.46,0.5,0.41,0.49,,,0.76,0.46499999999999997,"[[0.92, 0.93, 0.46, 0.5], [0.93, 0.03, 0.41, 0.49], [0.46, 0.41, 0.86, 0.76], [0.5, 0.49, 0.76, 0.88]]"
af3,classI,with_msa_with_template,7n2q_pmhc_tcr,1,0.6720921645029424,False,0.65,0.69,4,0.92,0.03,,0.86,0.87,0.93,,,0.41,0.43,0.36,0.4,,,0.74,0.4,"[[0.92, 0.93, 0.41, 0.43], [0.93, 0.03, 0.36, 0.4], [0.41, 0.36, 0.86, 0.74], [0.43, 0.4, 0.74, 0.87]]"
af3,classI,with_msa_with_template,7n2q_pmhc_tcr,4,0.6700570245069715,False,0.65,0.68,4,0.92,0.03,,0.86,0.87,0.92,,,0.42,0.4,0.36,0.37,,,0.75,0.38750000000000007,"[[0.92, 0.92, 0.42, 0.4], [0.92, 0.03, 0.36, 0.37], [0.42, 0.36, 0.86, 0.75], [0.4, 0.37, 0.75, 0.87]]"
af3,classI,with_msa_with_template,7n2r_pmhc_tcr,3,0.74449272860149,True,0.72,0.77,4,0.92,0.03,,0.87,0.88,0.93,,,0.63,0.55,0.5,0.43,,,0.75,0.5275000000000001,"[[0.92, 0.93, 0.63, 0.55], [0.93, 0.03, 0.5, 0.43], [0.63, 0.5, 0.87, 0.75], [0.55, 0.43, 0.75, 0.88]]"
af3,classI,with_msa_with_template,7n2r_pmhc_tcr,1,0.6767300123771907,False,0.66,0.71,4,0.91,0.03,,0.86,0.87,0.92,,,0.55,0.46,0.43,0.35,,,0.71,0.4475,"[[0.91, 0.92, 0.55, 0.46], [0.92, 0.03, 0.43, 0.35], [0.55, 0.43, 0.86, 0.71], [0.46, 0.35, 0.71, 0.87]]"
af3,classI,with_msa_with_template,7n2r_pmhc_tcr,0,0.6641301355098184,False,0.64,0.69,4,0.92,0.03,,0.86,0.87,0.92,,,0.52,0.41,0.4,0.29,,,0.67,0.405,"[[0.92, 0.92, 0.52, 0.41], [0.92, 0.03, 0.4, 0.29], [0.52, 0.4, 0.86, 0.67], [0.41, 0.29, 0.67, 0.87]]"
af3,classI,with_msa_with_template,7n2r_pmhc_tcr,2,0.6529824166737432,False,0.63,0.69,4,0.91,0.03,,0.86,0.86,0.92,,,0.53,0.34,0.41,0.22,,,0.65,0.375,"[[0.91, 0.92, 0.53, 0.34], [0.92, 0.03, 0.41, 0.22], [0.53, 0.41, 0.86, 0.65], [0.34, 0.22, 0.65, 0.86]]"
af3,classI,with_msa_with_template,7n2r_pmhc_tcr,4,0.645419106331023,False,0.62,0.67,4,0.91,0.03,,0.86,0.87,0.92,,,0.49,0.38,0.37,0.27,,,0.66,0.3775,"[[0.91, 0.92, 0.49, 0.38], [0.92, 0.03, 0.37, 0.27], [0.49, 0.37, 0.86, 0.66], [0.38, 0.27, 0.66, 0.87]]"
af3,classI,with_msa_with_template,7n2s_pmhc_tcr,4,0.5485307946593678,True,0.52,0.6,4,0.92,0.02,,0.86,0.88,0.91,,,0.18,0.19,0.19,0.19,,,0.83,0.1875,"[[0.92, 0.91, 0.18, 0.19], [0.91, 0.02, 0.19, 0.19], [0.18, 0.19, 0.86, 0.83], [0.19, 0.19, 0.83, 0.88]]"
af3,classI,with_msa_with_template,7n2s_pmhc_tcr,1,0.5419764910289313,False,0.52,0.59,4,0.92,0.03,,0.86,0.88,0.92,,,0.16,0.17,0.17,0.18,,,0.83,0.16999999999999998,"[[0.92, 0.92, 0.16, 0.17], [0.92, 0.03, 0.17, 0.18], [0.16, 0.17, 0.86, 0.83], [0.17, 0.18, 0.83, 0.88]]"
af3,classI,with_msa_with_template,7n2s_pmhc_tcr,3,0.5414164584275026,False,0.51,0.59,4,0.92,0.03,,0.86,0.88,0.92,,,0.16,0.17,0.17,0.19,,,0.83,0.1725,"[[0.92, 0.92, 0.16, 0.17], [0.92, 0.03, 0.17, 0.19], [0.16, 0.17, 0.86, 0.83], [0.17, 0.19, 0.83, 0.88]]"
af3,classI,with_msa_with_template,7n2s_pmhc_tcr,0,0.5413011109111452,False,0.52,0.59,4,0.92,0.03,,0.86,0.88,0.92,,,0.16,0.18,0.16,0.18,,,0.82,0.16999999999999998,"[[0.92, 0.92, 0.16, 0.18], [0.92, 0.03, 0.16, 0.18], [0.16, 0.16, 0.86, 0.82], [0.18, 0.18, 0.82, 0.88]]"
af3,classI,with_msa_with_template,7n2s_pmhc_tcr,2,0.538369071782924,False,0.51,0.59,4,0.92,0.03,,0.86,0.89,0.92,,,0.15,0.17,0.16,0.18,,,0.82,0.16499999999999998,"[[0.92, 0.92, 0.15, 0.17], [0.92, 0.03, 0.16, 0.18], [0.15, 0.16, 0.86, 0.82], [0.17, 0.18, 0.82, 0.89]]"
af3,classI,with_msa_with_template,7n4k_pmhc_tcr,3,0.880075783531663,True,0.86,0.88,4,0.91,0.04,,0.86,0.9,0.95,,,0.76,0.83,0.7,0.78,,,0.83,0.7675000000000001,"[[0.91, 0.95, 0.76, 0.83], [0.95, 0.04, 0.7, 0.78], [0.76, 0.7, 0.86, 0.83], [0.83, 0.78, 0.83, 0.9]]"
af3,classI,with_msa_with_template,7n4k_pmhc_tcr,1,0.8741845054116257,False,0.86,0.87,4,0.91,0.04,,0.86,0.9,0.95,,,0.74,0.82,0.68,0.78,,,0.84,0.7550000000000001,"[[0.91, 0.95, 0.74, 0.82], [0.95, 0.04, 0.68, 0.78], [0.74, 0.68, 0.86, 0.84], [0.82, 0.78, 0.84, 0.9]]"
af3,classI,with_msa_with_template,7n4k_pmhc_tcr,0,0.8710808804098892,False,0.86,0.87,4,0.91,0.04,,0.86,0.9,0.95,,,0.76,0.8,0.68,0.75,,,0.82,0.7475,"[[0.91, 0.95, 0.76, 0.8], [0.95, 0.04, 0.68, 0.75], [0.76, 0.68, 0.86, 0.82], [0.8, 0.75, 0.82, 0.9]]"
af3,classI,with_msa_with_template,7n4k_pmhc_tcr,2,0.8704919315059646,False,0.86,0.87,4,0.91,0.04,,0.85,0.9,0.95,,,0.74,0.82,0.67,0.77,,,0.81,0.75,"[[0.91, 0.95, 0.74, 0.82], [0.95, 0.04, 0.67, 0.77], [0.74, 0.67, 0.85, 0.81], [0.82, 0.77, 0.81, 0.9]]"
af3,classI,with_msa_with_template,7n4k_pmhc_tcr,4,0.8501036288975427,False,0.83,0.85,4,0.91,0.03,,0.84,0.89,0.95,,,0.73,0.77,0.66,0.72,,,0.81,0.72,"[[0.91, 0.95, 0.73, 0.77], [0.95, 0.03, 0.66, 0.72], [0.73, 0.66, 0.84, 0.81], [0.77, 0.72, 0.81, 0.89]]"
af3,classI,with_msa_with_template,7n5c_pmhc_tcr,4,0.8982149908684338,True,0.88,0.9,4,0.91,0.04,,0.86,0.9,0.95,,,0.83,0.84,0.77,0.8,,,0.85,0.81,"[[0.91, 0.95, 0.83, 0.84], [0.95, 0.04, 0.77, 0.8], [0.83, 0.77, 0.86, 0.85], [0.84, 0.8, 0.85, 0.9]]"
af3,classI,with_msa_with_template,7n5c_pmhc_tcr,1,0.8980888578461923,False,0.88,0.9,4,0.91,0.04,,0.87,0.9,0.95,,,0.83,0.84,0.77,0.8,,,0.85,0.81,"[[0.91, 0.95, 0.83, 0.84], [0.95, 0.04, 0.77, 0.8], [0.83, 0.77, 0.87, 0.85], [0.84, 0.8, 0.85, 0.9]]"
