pdb	model	condition	rank	status	dock_pred	dock_native	dock_err	inc_pred	inc_native	inc_err
7rrg	af3	msa	ranked_0	OK	130.00	73.79	56.21	9.40	12.05	2.65
7rtr	af3	msa	ranked_0	OK	35.63	42.24	6.62	12.74	3.53	9.21
7su9	af3	msa	ranked_0	OK	12.92	13.42	0.51	4.40	9.17	4.77
8cx4	af3	msa	ranked_0	OK	18.33	20.06	1.73	3.20	8.65	5.45
8d5q	af3	msa	ranked_0	OK	32.63	31.15	1.47	9.66	9.43	0.23
8dnt	af3	msa	ranked_0	OK	41.77	31.40	10.36	6.49	3.64	2.84
8en8	af3	msa	ranked_0	OK	40.56	41.37	0.81	21.35	21.57	0.22
8enh	af3	msa	ranked_0	OK	29.13	37.82	8.69	19.07	19.96	0.88
8eo8	af3	msa	ranked_0	OK	38.66	38.49	0.17	22.40	21.40	0.99
8f5a	af3	msa	ranked_0	OK	56.11	49.88	6.24	4.76	6.53	1.77
8gom	af3	msa	ranked_0	OK	13.40	39.06	25.66	35.28	15.79	19.49
8gon	af3	msa	ranked_0	OK	8.62	38.47	29.85	52.10	13.44	38.66
8gvb	af3	msa	ranked_0	OK	53.23	54.52	1.28	18.48	19.12	0.64
8gvg	af3	msa	ranked_0	OK	57.75	55.07	2.68	16.61	20.08	3.47
8gvi	af3	msa	ranked_0	OK	57.49	55.10	2.39	19.20	20.62	1.42
8i5c	af3	msa	ranked_0	OK	43.74	47.69	3.95	5.40	7.33	1.92
8i5d	af3	msa	ranked_0	OK	58.90	44.46	14.45	13.47	11.72	1.75
8qfy	af3	msa	ranked_0	OK	81.37	78.46	2.91	17.71	18.22	0.51
8shi	af3	msa	ranked_0	OK	33.96	20.26	13.70	44.99	18.76	26.24
8wte	af3	msa	ranked_0	OK	57.79	64.06	6.28	5.70	4.45	1.25
8wul	af3	msa	ranked_0	OK	57.63	64.44	6.80	8.10	2.45	5.64
6zkw	af3	msa	ranked_1	OK	56.74	57.14	0.40	16.20	18.99	2.79
6zkx	af3	msa	ranked_1	OK	43.69	54.69	10.99	15.00	13.69	1.31
6zky	af3	msa	ranked_1	OK	34.30	56.78	22.48	24.40	18.99	5.41
6zkz	af3	msa	ranked_1	OK	55.94	56.52	0.58	13.39	18.02	4.64
7dzm	af3	msa	ranked_1	OK	47.34	45.42	1.92	13.07	10.35	2.72
7dzn	af3	msa	ranked_1	OK	133.12	44.85	88.27	3.69	10.90	7.22
7l1d	af3	msa	ranked_1	OK	38.43	47.41	8.98	2.10	3.49	1.39
7n2n	af3	msa	ranked_1	OK	1.92	20.52	18.60	16.20	5.13	11.07
7n2o	af3	msa	ranked_1	OK	21.71	20.11	1.60	4.79	12.74	7.95
7n2p	af3	msa	ranked_1	OK	25.86	21.92	3.94	16.88	9.18	7.71
7n2q	af3	msa	ranked_1	OK	42.09	21.13	20.95	18.55	9.24	9.31
7n2r	af3	msa	ranked_1	OK	85.21	21.24	63.98	159.27	8.70	150.57
7n2s	af3	msa	ranked_1	OK	14.18	21.39	7.21	6.46	5.07	1.39
7n4k	af3	msa	ranked_1	OK	51.60	41.23	10.36	19.12	16.00	3.12
7n5c	af3	msa	ranked_1	OK	45.86	43.40	2.46	15.05	18.17	3.12
7n5p	af3	msa	ranked_1	OK	47.14	41.20	5.94	16.75	16.18	0.57
7na5	af3	msa	ranked_1	OK	31.77	58.96	27.19	29.40	14.97	14.43
7ndq	af3	msa	ranked_1	OK	92.75	76.89	15.86	28.44	19.03	9.41
7ndt	af3	msa	ranked_1	OK	40.34	33.86	6.48	5.63	7.29	1.66
7ndu	af3	msa	ranked_1	OK	77.13	76.62	0.52	21.48	20.08	1.41
7nme	af3	msa	ranked_1	OK	35.15	35.91	0.76	9.53	8.79	0.74
7nmf	af3	msa	ranked_1	OK	35.15	35.95	0.80	9.53	8.90	0.63
7nmg	af3	msa	ranked_1	OK	34.87	34.94	0.08	7.88	7.72	0.16
7ow5	af3	msa	ranked_1	OK	45.80	46.04	0.24	6.36	8.56	2.20
7ow6	af3	msa	ranked_1	OK	47.05	48.16	1.11	6.07	8.38	2.31
7pb2	af3	msa	ranked_1	OK	65.91	41.61	24.30	11.09	9.07	2.02
7pbe	af3	msa	ranked_1	OK	51.95	51.66	0.29	2.34	2.25	0.09
7phr	af3	msa	ranked_1	OK	38.12	42.98	4.85	7.76	5.35	2.41
7q99	af3	msa	ranked_1	OK	40.43	45.58	5.16	10.61	7.05	3.55
7q9a	af3	msa	ranked_1	OK	43.93	47.58	3.65	3.90	9.68	5.78
7q9b	af3	msa	ranked_1	OK	25.21	46.49	21.27	10.06	8.38	1.68
7qpj	af3	msa	ranked_1	OK	31.20	31.58	0.38	10.40	10.81	0.42
7r80	af3	msa	ranked_1	OK	149.75	17.50	132.25	22.30	11.89	10.40
7rk7	af3	msa	ranked_1	OK	84.38	80.75	3.63	9.51	16.46	6.95
7rm4	af3	msa	ranked_1	OK	103.48	35.33	68.15	26.42	18.89	7.53
7rrg	af3	msa	ranked_1	OK	118.34	73.79	44.55	12.25	12.05	0.21
7rtr	af3	msa	ranked_1	OK	34.71	42.24	7.53	10.39	3.53	6.87
7su9	af3	msa	ranked_1	OK	11.84	13.42	1.58	5.38	9.17	3.79
8cx4	af3	msa	ranked_1	OK	13.65	20.06	6.41	10.49	8.65	1.84
8d5q	af3	msa	ranked_1	OK	34.23	31.15	3.07	7.87	9.43	1.56
8dnt	af3	msa	ranked_1	OK	37.92	31.40	6.52	6.93	3.64	3.28
8en8	af3	msa	ranked_1	OK	40.36	41.37	1.00	19.20	21.57	2.36
8enh	af3	msa	ranked_1	OK	33.86	37.82	3.96	17.97	19.96	1.99
8eo8	af3	msa	ranked_1	OK	37.50	38.49	0.99	21.37	21.40	0.03
8f5a	af3	msa	ranked_1	OK	60.42	49.88	10.54	3.56	6.53	2.96
8gom	af3	msa	ranked_1	OK	110.10	39.06	71.04	172.67	15.79	156.88
8gon	af3	msa	ranked_1	OK	142.98	38.47	104.50	38.13	13.44	24.70
8gvb	af3	msa	ranked_1	OK	51.78	54.52	2.74	16.18	19.12	2.94
8gvg	af3	msa	ranked_1	OK	56.78	55.07	1.71	16.45	20.08	3.63
8gvi	af3	msa	ranked_1	OK	57.14	55.10	2.04	18.68	20.62	1.94
8i5c	af3	msa	ranked_1	OK	45.91	47.69	1.78	4.08	7.33	3.24
8i5d	af3	msa	ranked_1	OK	57.82	44.46	13.37	15.01	11.72	3.30
8qfy	af3	msa	ranked_1	OK	77.28	78.46	1.18	14.98	18.22	3.24
8shi	af3	msa	ranked_1	OK	31.66	20.26	11.40	37.26	18.76	18.51
8wte	af3	msa	ranked_1	OK	56.46	64.06	7.60	11.43	4.45	6.97
8wul	af3	msa	ranked_1	OK	55.03	64.44	9.40	5.83	2.45	3.38
6zkw	af3	msa	ranked_2	OK	50.71	57.14	6.44	17.41	18.99	1.58
6zkx	af3	msa	ranked_2	OK	31.74	54.69	22.95	20.86	13.69	7.18
6zky	af3	msa	ranked_2	OK	58.13	56.78	1.35	12.80	18.99	6.19
6zkz	af3	msa	ranked_2	OK	55.04	56.52	1.47	16.62	18.02	1.40
7dzm	af3	msa	ranked_2	OK	47.48	45.42	2.06	12.37	10.35	2.01
7dzn	af3	msa	ranked_2	OK	133.68	44.85	88.83	1.96	10.90	8.94
7l1d	af3	msa	ranked_2	OK	42.03	47.41	5.38	3.85	3.49	0.36
7n2n	af3	msa	ranked_2	OK	2.95	20.52	17.57	16.45	5.13	11.32
7n2o	af3	msa	ranked_2	OK	17.97	20.11	2.14	6.98	12.74	5.76
7n2p	af3	msa	ranked_2	OK	45.55	21.92	23.63	12.24	9.18	3.06
7n2q	af3	msa	ranked_2	OK	41.27	21.13	20.14	21.73	9.24	12.50
7n2r	af3	msa	ranked_2	OK	83.15	21.24	61.92	164.64	8.70	155.94
7n2s	af3	msa	ranked_2	OK	46.94	21.39	25.54	9.03	5.07	3.96
7n4k	af3	msa	ranked_2	OK	42.81	41.23	1.57	15.31	16.00	0.69
7n5c	af3	msa	ranked_2	OK	45.30	43.40	1.90	18.94	18.17	0.77
7n5p	af3	msa	ranked_2	OK	49.74	41.20	8.54	18.35	16.18	2.17
7na5	af3	msa	ranked_2	OK	30.50	58.96	28.46	31.85	14.97	16.88
7ndq	af3	msa	ranked_2	OK	97.79	76.89	20.90	29.56	19.03	10.53
7ndt	af3	msa	ranked_2	OK	37.64	33.86	3.78	6.78	7.29	0.51
7ndu	af3	msa	ranked_2	OK	77.64	76.62	1.02	24.13	20.08	4.05
7nme	af3	msa	ranked_2	OK	36.98	35.91	1.06	10.91	8.79	2.12
7nmf	af3	msa	ranked_2	OK	36.98	35.95	1.02	10.91	8.90	2.01
7nmg	af3	msa	ranked_2	OK	36.72	34.94	1.78	10.20	7.72	2.48
7ow5	af3	msa	ranked_2	OK	45.89	46.04	0.15	7.34	8.56	1.22
7ow6	af3	msa	ranked_2	OK	48.96	48.16	0.80	5.89	8.38	2.49
7pb2	af3	msa	ranked_2	OK	57.54	41.61	15.93	7.19	9.07	1.87
7pbe	af3	msa	ranked_2	OK	56.26	51.66	4.61	1.96	2.25	0.29
7phr	af3	msa	ranked_2	OK	38.23	42.98	4.74	7.34	5.35	1.99
7q99	af3	msa	ranked_2	OK	39.81	45.58	5.77	4.89	7.05	2.17
7q9a	af3	msa	ranked_2	OK	45.86	47.58	1.72	5.33	9.68	4.35
7q9b	af3	msa	ranked_2	OK	28.77	46.49	17.72	12.33	8.38	3.95
7qpj	af3	msa	ranked_2	OK	30.87	31.58	0.71	10.44	10.81	0.37
7r80	af3	msa	ranked_2	OK	146.58	17.50	129.08	20.58	11.89	8.68
7rk7	af3	msa	ranked_2	OK	85.13	80.75	4.39	4.03	16.46	12.43
7rm4	af3	msa	ranked_2	OK	37.00	35.33	1.68	22.89	18.89	4.00
7rrg	af3	msa	ranked_2	OK	115.88	73.79	42.09	14.51	12.05	2.47
7rtr	af3	msa	ranked_2	OK	43.37	42.24	1.13	6.96	3.53	3.43
7su9	af3	msa	ranked_2	OK	16.36	13.42	2.94	3.70	9.17	5.47
8cx4	af3	msa	ranked_2	OK	17.78	20.06	2.28	1.18	8.65	7.47
8d5q	af3	msa	ranked_2	OK	34.81	31.15	3.66	12.51	9.43	3.08
8dnt	af3	msa	ranked_2	OK	38.39	31.40	6.98	6.08	3.64	2.44
8en8	af3	msa	ranked_2	OK	42.09	41.37	0.72	17.74	21.57	3.83
8enh	af3	msa	ranked_2	OK	35.21	37.82	2.61	25.27	19.96	5.31
8eo8	af3	msa	ranked_2	OK	38.38	38.49	0.11	19.57	21.40	1.83
8f5a	af3	msa	ranked_2	OK	59.01	49.88	9.14	4.96	6.53	1.56
8gom	af3	msa	ranked_2	OK	138.55	39.06	99.49	11.97	15.79	3.82
8gon	af3	msa	ranked_2	OK	124.58	38.47	86.11	13.51	13.44	0.07
8gvb	af3	msa	ranked_2	OK	54.59	54.52	0.07	14.84	19.12	4.28
8gvg	af3	msa	ranked_2	OK	57.79	55.07	2.72	17.84	20.08	2.25
8gvi	af3	msa	ranked_2	OK	57.02	55.10	1.92	18.57	20.62	2.05
8i5c	af3	msa	ranked_2	OK	49.64	47.69	1.95	8.82	7.33	1.49
8i5d	af3	msa	ranked_2	OK	57.04	44.46	12.58	12.95	11.72	1.23
8qfy	af3	msa	ranked_2	OK	78.01	78.46	0.45	15.37	18.22	2.85
8shi	af3	msa	ranked_2	OK	28.79	20.26	8.53	44.20	18.76	25.44
8wte	af3	msa	ranked_2	OK	53.59	64.06	10.47	4.83	4.45	0.38
8wul	af3	msa	ranked_2	OK	62.40	64.44	2.04	6.48	2.45	4.03
6zkw	af3	msa	ranked_3	OK	52.28	57.14	4.87	17.01	18.99	1.98
6zkx	af3	msa	ranked_3	OK	34.73	54.69	19.96	22.26	13.69	8.57
6zky	af3	msa	ranked_3	OK	56.27	56.78	0.51	16.36	18.99	2.63
6zkz	af3	msa	ranked_3	OK	48.07	56.52	8.45	16.07	18.02	1.96
7dzm	af3	msa	ranked_3	OK	49.03	45.42	3.61	11.65	10.35	1.30
7dzn	af3	msa	ranked_3	OK	133.64	44.85	88.79	5.21	10.90	5.69
7l1d	af3	msa	ranked_3	OK	36.15	47.41	11.26	2.95	3.49	0.54
7n2n	af3	msa	ranked_3	OK	3.82	20.52	16.71	15.95	5.13	10.82
7n2o	af3	msa	ranked_3	OK	17.22	20.11	2.89	6.76	12.74	5.98
7n2p	af3	msa	ranked_3	OK	37.11	21.92	15.18	13.56	9.18	4.38
7n2q	af3	msa	ranked_3	OK	36.37	21.13	15.24	14.10	9.24	4.86
7n2r	af3	msa	ranked_3	OK	86.41	21.24	65.17	163.88	8.70	155.18
7n2s	af3	msa	ranked_3	OK	13.37	21.39	8.03	8.67	5.07	3.60
7n4k	af3	msa	ranked_3	OK	45.36	41.23	4.13	18.92	16.00	2.91
7n5c	af3	msa	ranked_3	OK	44.05	43.40	0.65	15.49	18.17	2.68
7n5p	af3	msa	ranked_3	OK	49.09	41.20	7.89	18.88	16.18	2.70
7na5	af3	msa	ranked_3	OK	27.53	58.96	31.44	33.33	14.97	18.36
7ndq	af3	msa	ranked_3	OK	92.26	76.89	15.36	31.52	19.03	12.49
7ndt	af3	msa	ranked_3	OK	42.41	33.86	8.55	7.08	7.29	0.21
7ndu	af3	msa	ranked_3	OK	84.33	76.62	7.71	26.05	20.08	5.97
7nme	af3	msa	ranked_3	OK	36.42	35.91	0.50	10.59	8.79	1.80
7nmf	af3	msa	ranked_3	OK	36.42	35.95	0.46	10.59	8.90	1.69
7nmg	af3	msa	ranked_3	OK	34.32	34.94	0.63	8.17	7.72	0.45
7ow5	af3	msa	ranked_3	OK	46.89	46.04	0.85	6.28	8.56	2.28
7ow6	af3	msa	ranked_3	OK	50.46	48.16	2.30	5.41	8.38	2.97
7pb2	af3	msa	ranked_3	OK	57.93	41.61	16.32	10.12	9.07	1.05
7pbe	af3	msa	ranked_3	OK	53.27	51.66	1.61	2.47	2.25	0.21
7phr	af3	msa	ranked_3	OK	35.71	42.98	7.27	7.16	5.35	1.80
7q99	af3	msa	ranked_3	OK	48.01	45.58	2.42	1.08	7.05	5.97
7q9a	af3	msa	ranked_3	OK	48.65	47.58	1.07	7.08	9.68	2.60
7q9b	af3	msa	ranked_3	OK	23.51	46.49	22.98	12.18	8.38	3.80
7qpj	af3	msa	ranked_3	OK	31.22	31.58	0.36	9.04	10.81	1.78
7r80	af3	msa	ranked_3	OK	154.66	17.50	137.15	18.00	11.89	6.11
7rk7	af3	msa	ranked_3	OK	79.32	80.75	1.43	5.57	16.46	10.89
7rm4	af3	msa	ranked_3	OK	155.30	35.33	119.97	22.41	18.89	3.53
7rrg	af3	msa	ranked_3	OK	135.77	73.79	61.98	5.81	12.05	6.24
7rtr	af3	msa	ranked_3	OK	38.39	42.24	3.85	13.76	3.53	10.23
7su9	af3	msa	ranked_3	OK	13.31	13.42	0.12	7.22	9.17	1.95
8cx4	af3	msa	ranked_3	OK	36.53	20.06	16.47	2.73	8.65	5.91
8d5q	af3	msa	ranked_3	OK	35.57	31.15	4.42	9.70	9.43	0.27
8dnt	af3	msa	ranked_3	OK	40.36	31.40	8.95	8.48	3.64	4.84
8en8	af3	msa	ranked_3	OK	40.89	41.37	0.48	18.78	21.57	2.78
8enh	af3	msa	ranked_3	OK	38.33	37.82	0.51	21.50	19.96	1.54
8eo8	af3	msa	ranked_3	OK	36.37	38.49	2.12	16.77	21.40	4.63
8f5a	af3	msa	ranked_3	OK	53.86	49.88	3.98	4.77	6.53	1.75
8gom	af3	msa	ranked_3	OK	81.90	39.06	42.84	108.05	15.79	92.26
8gon	af3	msa	ranked_3	OK	83.09	38.47	44.61	106.58	13.44	93.14
8gvb	af3	msa	ranked_3	OK	55.31	54.52	0.80	15.02	19.12	4.10
8gvg	af3	msa	ranked_3	OK	54.53	55.07	0.54	15.70	20.08	4.38
8gvi	af3	msa	ranked_3	OK	56.87	55.10	1.76	17.22	20.62	3.40
8i5c	af3	msa	ranked_3	OK	48.90	47.69	1.21	1.85	7.33	5.47
8i5d	af3	msa	ranked_3	OK	59.01	44.46	14.56	14.76	11.72	3.05
8qfy	af3	msa	ranked_3	OK	80.19	78.46	1.73	16.57	18.22	1.66
8shi	af3	msa	ranked_3	OK	28.62	20.26	8.35	40.17	18.76	21.42
8wte	af3	msa	ranked_3	OK	62.01	64.06	2.05	6.25	4.45	1.80
8wul	af3	msa	ranked_3	OK	59.35	64.44	5.09	8.45	2.45	5.99
6zkw	af3	msa	ranked_4	OK	51.02	57.14	6.13	17.53	18.99	1.46
6zkx	af3	msa	ranked_4	OK	32.98	54.69	21.71	19.74	13.69	6.06
6zky	af3	msa	ranked_4	OK	30.69	56.78	26.09	23.60	18.99	4.61
6zkz	af3	msa	ranked_4	OK	44.89	56.52	11.62	17.60	18.02	0.42
7dzm	af3	msa	ranked_4	OK	49.02	45.42	3.59	12.53	10.35	2.18
7dzn	af3	msa	ranked_4	OK	45.99	44.85	1.13	3.15	10.90	7.75
7l1d	af3	msa	ranked_4	OK	43.60	47.41	3.81	1.63	3.49	1.86
7n2n	af3	msa	ranked_4	OK	5.46	20.52	15.06	18.44	5.13	13.30
7n2o	af3	msa	ranked_4	OK	15.52	20.11	4.59	5.44	12.74	7.30
7n2p	af3	msa	ranked_4	OK	33.88	21.92	11.96	6.22	9.18	2.95
7n2q	af3	msa	ranked_4	OK	26.34	21.13	5.21	9.19	9.24	0.05
7n2r	af3	msa	ranked_4	OK	85.60	21.24	64.37	160.92	8.70	152.22
7n2s	af3	msa	ranked_4	OK	46.57	21.39	25.17	21.54	5.07	16.46
7n4k	af3	msa	ranked_4	OK	46.70	41.23	5.46	14.94	16.00	1.06
7n5c	af3	msa	ranked_4	OK	47.21	43.40	3.81	17.86	18.17	0.31
7n5p	af3	msa	ranked_4	OK	45.01	41.20	3.82	15.12	16.18	1.06
7na5	af3	msa	ranked_4	OK	40.27	58.96	18.70	30.55	14.97	15.58
7ndq	af3	msa	ranked_4	OK	90.72	76.89	13.83	26.95	19.03	7.92
7ndt	af3	msa	ranked_4	OK	41.21	33.86	7.35	7.32	7.29	0.03
7ndu	af3	msa	ranked_4	OK	79.41	76.62	2.79	24.58	20.08	4.50
7nme	af3	msa	ranked_4	OK	35.06	35.91	0.86	9.57	8.79	0.78
7nmf	af3	msa	ranked_4	OK	35.06	35.95	0.90	9.57	8.90	0.66
7nmg	af3	msa	ranked_4	OK	35.79	34.94	0.85	9.78	7.72	2.06
7ow5	af3	msa	ranked_4	OK	48.41	46.04	2.37	5.83	8.56	2.73
7ow6	af3	msa	ranked_4	OK	51.06	48.16	2.90	7.14	8.38	1.24
7pb2	af3	msa	ranked_4	OK	59.01	41.61	17.40	11.14	9.07	2.07
7pbe	af3	msa	ranked_4	OK	50.97	51.66	0.69	2.52	2.25	0.26
7phr	af3	msa	ranked_4	OK	36.43	42.98	6.55	6.46	5.35	1.11
7q99	af3	msa	ranked_4	OK	45.60	45.58	0.02	3.32	7.05	3.73
7q9a	af3	msa	ranked_4	OK	51.23	47.58	3.66	6.51	9.68	3.17
7q9b	af3	msa	ranked_4	OK	29.31	46.49	17.18	16.77	8.38	8.39
7qpj	af3	msa	ranked_4	OK	31.68	31.58	0.10	10.80	10.81	0.01
7r80	af3	msa	ranked_4	OK	147.18	17.50	129.68	19.51	11.89	7.62
7rk7	af3	msa	ranked_4	OK	79.97	80.75	0.78	5.39	16.46	11.08
7rm4	af3	msa	ranked_4	OK	26.47	35.33	8.86	21.42	18.89	2.53
7rrg	af3	msa	ranked_4	OK	130.91	73.79	57.12	4.90	12.05	7.15
7rtr	af3	msa	ranked_4	OK	44.47	42.24	2.23	12.38	3.53	8.86
7su9	af3	msa	ranked_4	OK	23.74	13.42	10.31	11.43	9.17	2.26
8cx4	af3	msa	ranked_4	OK	13.51	20.06	6.54	9.48	8.65	0.83
8d5q	af3	msa	ranked_4	OK	38.13	31.15	6.98	12.04	9.43	2.61
8dnt	af3	msa	ranked_4	OK	40.77	31.40	9.36	8.89	3.64	5.24
8en8	af3	msa	ranked_4	OK	39.30	41.37	2.07	17.52	21.57	4.04
8enh	af3	msa	ranked_4	OK	35.76	37.82	2.05	25.08	19.96	5.12
8eo8	af3	msa	ranked_4	OK	37.95	38.49	0.55	19.50	21.40	1.90
8f5a	af3	msa	ranked_4	OK	46.35	49.88	3.52	6.76	6.53	0.24
8gom	af3	msa	ranked_4	OK	95.24	39.06	56.17	85.87	15.79	70.08
8gon	af3	msa	ranked_4	OK	98.09	38.47	59.61	79.45	13.44	66.01
8gvb	af3	msa	ranked_4	OK	53.25	54.52	1.26	15.84	19.12	3.28
8gvg	af3	msa	ranked_4	OK	54.62	55.07	0.45	18.12	20.08	1.96
8gvi	af3	msa	ranked_4	OK	55.39	55.10	0.29	19.47	20.62	1.16
8i5c	af3	msa	ranked_4	OK	55.15	47.69	7.46	7.02	7.33	0.31
8i5d	af3	msa	ranked_4	OK	61.59	44.46	17.13	14.90	11.72	3.19
8qfy	af3	msa	ranked_4	OK	77.76	78.46	0.70	13.45	18.22	4.77
8shi	af3	msa	ranked_4	OK	28.81	20.26	8.54	36.17	18.76	17.42
8wte	af3	msa	ranked_4	OK	55.48	64.06	8.58	12.62	4.45	8.17
8wul	af3	msa	ranked_4	OK	58.35	64.44	6.08	8.09	2.45	5.63
6zkw	af3	msa+tmpl	ranked_0	OK	36.94	57.14	20.21	26.58	18.99	7.59
6zkx	af3	msa+tmpl	ranked_0	OK	56.22	54.69	1.53	10.99	13.69	2.69
6zky	af3	msa+tmpl	ranked_0	OK	58.53	56.78	1.75	11.63	18.99	7.36
6zkz	af3	msa+tmpl	ranked_0	OK	35.54	56.52	20.98	8.81	18.02	9.21
7dzm	af3	msa+tmpl	ranked_0	OK	47.91	45.42	2.49	13.02	10.35	2.67
7dzn	af3	msa+tmpl	ranked_0	OK	38.26	44.85	6.59	27.46	10.90	16.55
7l1d	af3	msa+tmpl	ranked_0	OK	39.65	47.41	7.76	3.33	3.49	0.16
7n2n	af3	msa+tmpl	ranked_0	OK	4.18	20.52	16.35	22.24	5.13	17.11
7n2o	af3	msa+tmpl	ranked_0	OK	22.64	20.11	2.53	4.19	12.74	8.55
7n2p	af3	msa+tmpl	ranked_0	OK	22.14	21.92	0.22	19.18	9.18	10.00
7n2q	af3	msa+tmpl	ranked_0	OK	38.30	21.13	17.17	21.05	9.24	11.82
7n2r	af3	msa+tmpl	ranked_0	OK	86.46	21.24	65.22	160.00	8.70	151.30
7n2s	af3	msa+tmpl	ranked_0	OK	49.70	21.39	28.31	10.66	5.07	5.59
7n4k	af3	msa+tmpl	ranked_0	OK	41.69	41.23	0.45	14.47	16.00	1.53
7n5c	af3	msa+tmpl	ranked_0	OK	38.41	43.40	4.99	12.49	18.17	5.69
7n5p	af3	msa+tmpl	ranked_0	OK	42.97	41.20	1.78	13.82	16.18	2.36
7na5	af3	msa+tmpl	ranked_0	OK	26.70	58.96	32.26	32.96	14.97	17.99
7ndq	af3	msa+tmpl	ranked_0	OK	89.11	76.89	12.21	27.75	19.03	8.73
7ndt	af3	msa+tmpl	ranked_0	OK	37.40	33.86	3.55	7.11	7.29	0.18
7ndu	af3	msa+tmpl	ranked_0	OK	81.71	76.62	5.09	25.61	20.08	5.54
7nme	af3	msa+tmpl	ranked_0	OK	34.91	35.91	1.00	9.80	8.79	1.01
7nmf	af3	msa+tmpl	ranked_0	OK	35.32	35.95	0.63	9.56	8.90	0.66
7nmg	af3	msa+tmpl	ranked_0	OK	34.24	34.94	0.70	8.57	7.72	0.85
7ow5	af3	msa+tmpl	ranked_0	OK	45.31	46.04	0.73	6.29	8.56	2.27
7ow6	af3	msa+tmpl	ranked_0	OK	49.15	48.16	0.99	4.83	8.38	3.55
7pb2	af3	msa+tmpl	ranked_0	OK	99.51	41.61	57.90	164.92	9.07	155.86
7pbe	af3	msa+tmpl	ranked_0	OK	49.65	51.66	2.01	2.97	2.25	0.71
7phr	af3	msa+tmpl	ranked_0	OK	35.54	42.98	7.43	7.21	5.35	1.86
7q99	af3	msa+tmpl	ranked_0	OK	43.17	45.58	2.41	10.62	7.05	3.57
7q9a	af3	msa+tmpl	ranked_0	OK	45.09	47.58	2.49	4.23	9.68	5.45
7q9b	af3	msa+tmpl	ranked_0	OK	21.13	46.49	25.36	13.07	8.38	4.69
7qpj	af3	msa+tmpl	ranked_0	OK	29.76	31.58	1.82	10.96	10.81	0.15
7r80	af3	msa+tmpl	ranked_0	OK	154.05	17.50	136.55	6.52	11.89	5.37
